F_min_DAo,F_max_DAo,F_min_DAb,F_max_DAb,F_min_g_1,F_max_g_1,F_min_g_2,F_max_g_2,F_min_g_3,F_max_g_3,F_min_do_1,F_max_do_1,F_min_do_2,F_max_do_2,F_min_db_1,F_max_db_1,F_min_db_2,F_max_db_2,F_min_l_1,F_max_l_1,F_min_l_2,F_max_l_2,F_min_l_3,F_max_l_3
0.0,15.0,0.0,55.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,4.0,0.0,8.0,0.0,55.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,0.0,79.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,99985.0,100000.0,0.0,88.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,100.0,9.0,0.0,12.0,0.0,18.0,0.0,99998.0,100000.0,0.0,0.0,0.0,66.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,0.0,90.0,0.0,0.0,3.0,0.0,9.0,0.0,99992.0,100000.0,99997.0,100000.0,0.0,76.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10.0,0.0,55.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,10.0,0.0,5.0,0.0,68.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,59.0,0.0,0.0,3.0,0.0,9.0,0.0,99990.0,100000.0,0.0,7.0,0.0,58.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,81.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,99987.0,100000.0,0.0,56.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.0,0.0,62.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,15.0,99993.0,100000.0,0.0,55.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,0.0,83.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,10.0,99996.0,100000.0,0.0,69.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,13.0,0.0,65.0,0.0,0.0,3.0,0.0,9.0,0.0,99995.0,100000.0,99997.0,100000.0,0.0,66.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,57.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,99995.0,100000.0,0.0,55.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,70.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,8.0,99985.0,100000.0,0.0,93.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,78.0,0.0,0.0,3.0,0.0,9.0,0.0,99993.0,100000.0,99988.0,100000.0,0.0,63.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11.0,0.0,74.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,10.0,0.0,7.0,0.0,69.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0,67.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,12.0,0.0,10.0,0.0,62.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,90.0,7.0,0.0,10.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,0.0,91.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,74.0,0.0,0.0,3.0,0.0,9.0,0.0,99986.0,100000.0,0.0,14.0,0.0,61.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,0.0,75.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,90.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,78.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,8.0,0.0,2.0,0.0,67.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,0.0,71.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,9.0,0.0,4.0,0.0,83.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,85.0,5.0,0.0,8.0,0.0,14.0,0.0,100000.0,99996.0,0.0,0.0,0.0,75.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,0.0,70.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,4.0,0.0,2.0,0.0,77.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,0.0,59.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,6.0,0.0,12.0,0.0,64.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,12.0,99916.0,100000.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,8.0,0.0,3.0,0.0,92.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0
